"DetailModelName","PipeRef","SSC","Comment"
"Becton","35811309.3","SSC_NorthEastSR","PF"
"Becton","TPS Transfer Pipelines.1","Tunnel","PF"
"CrossnessICM","TQ23750307.1","SSC_WestPutney","PF"
"CrossnessICM","TQ24757103.1","SSC_PutneyBridge","PF"
"CrossnessICM","TQ25745602.1","SSC_Frogmore_BellLaneCreek","PF"
"CrossnessICM","TQ25743413.1","SSC_Frogmore_BuckholdRd","PF"
"CrossnessICM","TQ25745606.1","SSC_Wandsworth_HighSt","PF"
"CrossnessICM","TQ27760103.1","SSC_FalconBrookPS","PF"
"CrossnessICM","TQ30771801.1","SSC_Heathwall","PF"
"CrossnessICM","TQ25746515.3","SSC_LowLevelStorm","PF"
"CrossnessICM","TQ26722813.1","SSC_WandleValley","PF"
"CrossnessICM","TQ28751411.1","SSC_Wandsworth","PF"
"CrossnessICM","TQ29775510.1","SSC_HeathwallPS","PF"
"CrossnessICM","TQ32791023.1","SSC_Shad","PF"
"CrossnessICM","TQ35789624.1","SSC_Earl","PF"
"CrossnessICM","37776151.1","SSC_Greenwich","PF"
"CrossnessICM","TQ28722603a.1","SSC_Balham","PF"
"CrossnessICM","Bellevue 1.2","SSC_FalconBrookStorm","PF"
"CrossnessICM","TQ29759608A.1","SSC_SouthWestern","PF"
"CrossnessICM","TQ30750630.1","SSC_Clapham","PF"
"CrossnessICM","TQ31741607.2","SSC_Effra","PF"
"CrossnessICM","TQ31762307.1","SSC_Brixton","PF"
"CrossnessICM","TQ37773003a.1","SSC_DeptfordStorm","PF"
"CrossnessICM","TQ32739009.1","SSC_WestDulwich","PF"
"CrossnessICM","TQ34759814.1","SSC_EastDulwich","PF"
"CrossnessICM","TQ38744809.1","SSC_Lewisham","PF"
"CrossnessICM","TQ41785213.1","SSC_Charlton","PF"
"CrossnessICM","48801701.1","SSC_CrossnessTrunk","PF"
"CrossnessICM","TQ35763404.1","SSC_Peckham","PF"
"CrossnessICM","Dulwich1.1","SSC_Dulwich","PF"
"CrossnessICM","37777103.1","SSC_Greenwich_SPSDischarge","PF"
"Becton","Beckton Bypass Siphon Inlet.1","TunnelBypass","PF"
